Filename,TrueAngle,Est_MVDR,Est_SRP_PHAT,Est_W_SRP_PHAT,Est_GCCWLS,abs_err_mvdr,abs_err_srp,abs_err_wsrp,abs_err_gccwls
30d1m_070.wav,30,39,35,34.1816251512678,34.4467819616506,9,5,4.18162515126777,4.44678196165061
30d1m_071.wav,30,39,35,33.7273985596155,34.0621781892842,9,5,3.72739855961554,4.06217818928419
30d1m_072.wav,30,36,36,33.432158948043,33.7586980524647,6,6,3.43215894804305,3.75869805246474
30d1m_073.wav,30,40,35,33.5881775013143,33.961544328139,10,5,3.58817750131426,3.96154432813898
30d1m_074.wav,30,39,35,33.8846475877938,34.0983083907647,9,5,3.8846475877938,4.09830839076473
30d1m_075.wav,30,38,35,33.7447102546263,33.9372163253134,8,5,3.74471025462628,3.93721632531338
30d1m_076.wav,30,37,36,33.5265377887963,33.8400589180462,7,6,3.52653778879633,3.84005891804615
30d1m_077.wav,30,38,36,33.7731083035777,34.3050770429652,8,6,3.77310830357768,4.30507704296517
30d1m_078.wav,30,39,35,33.6956858785483,33.9410362885186,9,5,3.69568587854833,3.94103628851865
30d1m_079.wav,30,39,36,33.6996000427036,33.9801602024754,9,6,3.69960004270356,3.98016020247538
30d1m_080.wav,30,35,35,33.4186188605294,33.812664240007,5,5,3.41861886052939,3.81266424000702
30d1m_081.wav,30,39,35,33.7250151848019,33.9524127868097,9,5,3.72501518480186,3.95241278680967
30d1m_082.wav,30,38,35,33.8443970280766,34.1280746385696,8,5,3.84439702807657,4.12807463856964
30d1m_083.wav,30,39,35,33.4394443357555,33.6858772185082,9,5,3.43944433575548,3.68587721850818
30d1m_084.wav,30,39,35,33.5077232329826,33.692995684845,9,5,3.50772323298256,3.69299568484503
30d1m_085.wav,30,38,35,33.8431952266225,33.909586407946,8,5,3.84319522662249,3.90958640794599
30d1m_086.wav,30,37,36,33.5707838933241,33.8379008095988,7,6,3.57078389332408,3.83790080959879
30d1m_087.wav,30,37,36,33.9296804965208,34.0553898315832,7,6,3.92968049652076,4.05538983158322
30d1m_088.wav,30,38,36,33.1536617929771,33.4039513606038,8,6,3.15366179297713,3.40395136060384
30d1m_089.wav,30,37,35,33.7360651736104,33.8542715577426,7,5,3.73606517361044,3.85427155774256
30d1m_090.wav,30,37,36,33.6323408054764,33.8053872344335,7,6,3.63234080547636,3.80538723443347
30d1m_091.wav,30,38,35,33.8180070007709,33.9695165616454,8,5,3.81800700077091,3.96951656164538
30d1m_092.wav,30,38,35,34.1267611585296,34.3449367163765,8,5,4.12676115852965,4.34493671637654
