file,fs,duration_s,channels,channel_index,rms_dbfs,peak_dbfs,crest_db,zcr,snr_db,spectral_centroid_hz
100d1m_015.wav,16000,1,6,2,-41.6879491596261,-24.811992298861,16.8759568607651,0.0667740780522735,15.6901622080409,7916.04751592671
100d1m_015.wav,16000,1,6,3,-41.7691817281199,-24.7797626157294,16.9894191123904,0.0709170886399673,15.7614246620363,7914.99271167463
100d1m_015.wav,16000,1,6,4,-41.4420330974729,-24.4550186383157,16.9870144591572,0.0683341005575162,15.647663359946,7915.35636999297
100d1m_015.wav,16000,1,6,5,-88.7731364178542,-84.2883987858831,4.48473763197109,0.436192522121631,1.54686456305722,7741.0330132074
100d1m_015.wav,16000,1,6,6,-88.7601962519539,-84.2883987858831,4.47179746607073,0.440693570661347,1.06845825856101,7740.3892660518
100d1m_016.wav,16000,1,6,1,-43.6364787374675,-25.3839524532079,18.2525262842596,0.0589995396654903,13.9979156554703,7915.80558219164
100d1m_016.wav,16000,1,6,2,-43.470578502522,-25.1987244428037,18.2718540597183,0.0595110224540944,14.5221053671415,7916.8803332332
100d1m_016.wav,16000,1,6,3,-43.5018021662726,-25.1650301764074,18.3367719898652,0.0653675003836121,14.8359026608153,7915.21962014855
100d1m_016.wav,16000,1,6,4,-43.0896902040153,-24.7889588999533,18.300731304062,0.0639097744360902,14.9232765313583,7914.42830906735
100d1m_016.wav,16000,1,6,5,-88.7155830374351,-84.2883987858831,4.42718425155194,0.436755153189095,1.18855613022651,7739.08698107103
100d1m_016.wav,16000,1,6,6,-88.6923245747645,-84.2883987858831,4.40392578888141,0.441690962099125,1.33002462510359,7737.94263365274
100d1m_017.wav,16000,1,6,1,-36.8951233874448,-21.7820272234442,15.1130961640006,0.0644468313641246,16.6193245091387,7967.69841266925
100d1m_017.wav,16000,1,6,2,-36.6408105115241,-20.8159336319531,15.824876879571,0.0662114469848089,17.089665492972,7968.93031847535
100d1m_017.wav,16000,1,6,3,-36.6648098630908,-20.4426265345523,16.2221833285385,0.0677203212111912,17.2754099495032,7968.71241574472
100d1m_017.wav,16000,1,6,4,-36.3336110186098,-19.8810061368868,16.452604881723,0.0707380696639558,17.1932052867667,7969.08848623759
100d1m_017.wav,16000,1,6,5,-88.7845863185518,-84.2883987858831,4.49618753266866,0.429364226893765,1.27794779630923,7741.00750760855
100d1m_017.wav,16000,1,6,6,-88.7968329105767,-84.2883987858831,4.50843412469358,0.441997851772288,1.09254242069595,7741.76636035328
100d1m_018.wav,16000,1,6,1,-42.4878165565556,-27.9834869475834,14.5043296089722,0.0942918520791775,12.7638631995969,7956.84584542701
100d1m_018.wav,16000,1,6,2,-42.4381382579699,-27.7345530124258,14.7035852455442,0.0935246278962713,13.0616944603691,7957.63462260332
